Inlet Pressure (bar),Outlet Pressure (bar),Cold Mass Fraction,Nozzle Diameter (mm),Tube Diameter (mm),Tube Length (mm),L/D Ratio,Reynolds Number,Pressure Ratio,Mach Number,Swirl Number,Turbulence Intensity (%),Shock Angle (deg),Shock Location (mm),Maximum Mach,Minimum Pressure (bar),Shock Length (mm),Number of Shocks,Maximum Temperature (K),Cold Exit Temperature (K),Hot Exit Temperature (K),Pressure Drop (bar),Entropy Generation,Shock Intensity,Vorticity (1/s),Helicity(m/s2),Q-Criterion(1/s2),Turbulent Kinetic Energy(m2/s2),Eddy Dissipation Rate(m2/s3),Circulation(m2/s),Swirl Velocity (m/s),Axial Velocity (m/s),Tangential Velocity (m/s),Radial Pressure Gradient (kPa/m),Vortex Core Radius (mm)
4.247,1.828,0.526,1.622,17.681,449.769,25.439,82920,2.324,0.702,0.806,2.016,29.009,135.106,0.808,1.693,26.357,1,347.832,250.479,363.208,2.602,1.254,1.496,918.284,320.985,33991.373,6.564,21.277,5.693,105.25,123.633,159.675,79.634,2.971
7.704,1.765,0.7,1.532,8.198,622.723,75.956,90285,4.366,0.911,0.431,1.668,32.108,209.118,1.013,1.705,32.411,2,383.22,218.865,398.447,6.175,2.028,2.105,857.395,191.843,33505.168,6.202,20.072,2.977,102.675,130.184,164.917,91.722,1.564
6.392,1.574,0.275,1.188,10.242,493.867,48.221,232562,4.062,0.893,0.597,7.646,31.073,159.445,0.928,1.49,30.003,2,377.176,223.266,395.654,5.264,2.502,1.99,1295.211,324.561,40067.957,11.523,33.529,5.21,121.932,130.545,183.495,92.135,1.425
5.592,1.956,0.278,2.136,15.859,158.312,9.983,46882,2.859,0.773,1.359,11.627,32.571,74.77,0.763,1.837,15.757,1,373.895,245.16,375.169,3.786,1.557,1.807,937.504,539.929,38137.239,8.949,26.465,4.87,110.479,118.046,166.334,90.838,2.889
2.936,1.2,0.534,1.849,12.509,229.906,18.379,164103,2.446,0.702,0.733,6.53,27.388,70.982,0.866,1.112,19.908,1,349.812,248.177,368.453,2.008,1.672,1.481,1133.612,357.836,37497.535,9.129,30.417,4.929,107.994,121.207,165.541,80.493,2.404
2.936,1.109,0.768,2.705,19.79,253.53,12.811,179981,2.647,0.75,1.045,1.567,31.22,68.287,0.735,1,22.884,1,353.817,243.958,374.674,2.052,1.708,1.794,1259.488,566.374,41706.998,8.685,31.208,8.223,117.445,127.985,183.312,89.493,3.819
2.349,1.072,0.449,0.871,15.985,280.505,17.548,141219,2.191,0.697,1.099,3.433,33.397,83.387,0.698,0.947,20.995,1,356.79,258.904,358.144,1.443,1.493,1.342,1111.353,544.89,38548.792,9.447,27.608,6.969,111.596,116.555,169.105,81.888,2.726
7.197,1.439,0.396,2.217,19.479,495.782,25.453,182731,5.001,0.968,1.238,3.693,34.877,196.348,1.107,1.306,31.144,3,400.122,209.128,427.354,6.083,2.744,2.68,1348.67,751.183,45122.01,10.247,34.309,9.328,124.772,131.726,187.084,103.785,3.327
5.607,1.847,0.564,2.478,10.417,452.776,43.464,68006,3.036,0.8,0.519,4.716,26.668,123.24,0.762,1.828,26.792,1,362.98,241.554,374.13,3.767,1.583,1.772,805.469,191.854,33091.77,5.593,21.042,3.434,96.094,133.266,144.063,81.557,2.064
6.248,1.893,0.758,2.471,18.367,242.212,13.187,217579,3.301,0.796,0.666,1.48,27.706,82.936,0.812,1.842,15.373,2,368.771,233.02,377.86,4.915,2.091,1.859,1256.194,353.133,41329.252,8.856,31.835,7.894,114.898,131.46,176.429,89.492,3.525
2.124,1.062,0.702,2.749,11.856,147.288,12.423,60805,1.999,0.631,0.838,10.954,30.099,34.961,0.527,0.952,20.723,1,344.122,255.096,354.524,1.176,1.227,1.38,834.203,319.102,31672.996,7.449,23.112,3.972,101.592,122.112,153.465,75.093,2.064
7.819,1.883,0.797,2.404,19.875,220.003,11.069,118178,4.152,0.874,0.738,6.671,30.991,102.175,1.076,1.792,20.645,2,378.216,219.078,403.623,6.246,2.135,2.147,987.481,349.536,35990.988,8.77,26.088,7.241,106.471,125.951,173.923,94.56,3.163
6.995,1.448,0.214,2.841,9.892,789.067,79.766,46556,4.829,0.953,1.479,8.38,35.204,269.643,1.126,1.316,30.229,3,401.533,210.266,427.762,5.702,2.383,2.69,975.348,679.763,40425.71,8.866,24.439,4.016,112.564,120.571,182.403,106.501,1.524
3.274,1.51,0.268,1.532,14.196,427.983,30.148,149946,2.168,0.651,1.302,1.739,29.789,106.263,0.859,1.402,24.545,1,347.357,259.475,372.639,2.064,1.412,1.493,1208.053,712,40834.179,8.591,29.911,5.33,114.529,114.382,182.182,89.423,2.498
3.091,1.627,0.566,1.907,17.514,707.142,40.375,177344,1.9,0.611,0.876,1.595,29.836,158.655,0.548,1.513,28.316,1,342.866,260.306,352.69,2.102,1.483,1.343,1187.137,426.481,40727.307,8.195,30.961,7.314,114.577,116.615,179.099,79.521,2.843
3.1,1.926,0.692,0.831,13.192,694.127,52.618,237068,1.609,0.594,1.355,7.451,29.943,189.872,0.502,1.838,33.987,1,345.613,264.604,350.718,1.882,1.656,1.182,1438.445,835.948,45434.989,12.803,40.754,7.19,129.682,118.07,202.521,78.225,2.48
3.825,1.019,0.371,0.815,13.617,458.064,33.639,192653,3.754,0.893,0.717,10.76,31.211,134.329,1.118,0.944,26.916,2,381.61,229.941,393.436,3.303,2.369,1.973,1146.764,388.082,38722.458,10.37,34.774,4.998,114.945,125.388,183.452,93.105,2.275
5.149,1.477,0.344,1.328,19.836,594.681,29.979,149042,3.486,0.88,1.243,6.813,31.828,183.986,1.051,1.332,27.615,2,370.83,235.557,390.88,3.897,2.044,2.01,1157.66,613.906,40924.512,10.032,33.971,8.298,121.961,125.626,189.563,93.847,3.519
4.592,1.688,0.672,1.022,13.104,234.926,17.928,235175,2.721,0.75,0.568,10.656,31.112,72.412,0.822,1.664,23.304,1,353.654,249.323,364.335,3.489,2.04,1.494,1278.784,322.756,39845.792,12.066,38.836,6.151,117.804,128.101,179.303,76.784,2.561
3.747,1.723,0.234,1.372,15.249,581.878,38.159,135256,2.175,0.647,1.227,9.921,30.224,156.785,0.568,1.668,30.509,1,349.324,257.963,358.875,2.155,1.539,1.39,1144.121,628.987,40897.423,10.859,30.951,6.457,117.834,118.37,191.136,84.138,2.782
5.671,1.693,0.422,1.189,8.654,290.669,33.586,153465,3.351,0.81,0.848,1.834,32.321,126.786,1.028,1.61,21.798,2,369.884,237.951,370.177,4.397,1.937,1.865,1106.384,428.513,37420.142,7.475,29.468,3.518,115.287,126.422,180.996,88.7,1.921
2.837,1.134,0.503,0.863,18.107,682.443,37.69,161141,2.501,0.699,0.429,3.222,25.714,230.853,0.722,1.024,28.119,1,343.217,256.369,363.104,1.82,1.534,1.369,1023.647,208.942,36594.692,7.205,27.903,6.796,107.59,132.638,172.576,75.555,3.526
3.753,1.299,0.536,2.8,15.778,158.607,10.052,120195,2.888,0.751,0.628,8.235,32.997,32.645,0.769,1.226,16.444,1,354.551,245.44,364.523,2.668,1.711,1.651,975.712,267.282,36787.854,8.285,27.785,5.605,109.75,129.52,177.361,79.689,2.613
4.198,1.359,0.637,0.818,12.848,641.197,49.905,214466,3.09,0.805,0.783,5.879,33.342,202.16,0.96,1.271,28.676,1,356.676,242.779,373.849,3.365,1.993,1.691,1268.834,409.149,41719.338,10.864,34.018,6.298,119.867,130.691,178.705,86.615,2.408
4.736,1.804,0.413,2.419,8.194,169.956,20.741,70738,2.625,0.731,1.199,4.198,27.753,54.504,0.766,1.713,21.414,1,353.486,247.587,373.307,3.104,1.461,1.641,946.231,494.348,35690.76,7.161,23.662,2.355,106.011,120.86,160.861,85.276,1.47
6.711,1.279,0.568,1.135,15.1,716.832,47.472,152065,5.248,1.019,0.388,5.605,30.175,260.513,1.115,1.229,28.954,3,395.7,198.832,418.823,5.618,2.604,2.58,989.885,194.524,36298.785,7.951,26.142,5.402,106.163,140.61,163.74,94.336,2.944
3.198,1.211,0.551,2.807,8.152,312.943,38.389,188891,2.641,0.706,1.091,5.897,31.79,109.9,0.746,1.105,22.505,1,365.145,247.566,379.807,2.379,1.93,1.605,1244.48,558.473,40451.617,10.366,34.324,4.16,119.572,123.654,187.34,89.302,1.539
5.085,1.957,0.529,2.764,8.014,558.075,69.634,228874,2.598,0.691,1.159,11.016,28.285,181.874,0.663,1.917,27.964,1,359.746,248.849,365.029,3.617,2.038,1.633,1405.968,709.897,44161.782,13.544,42.263,3.552,123.859,122.287,195.648,86.435,1.308
5.554,1.009,0.584,2.239,15.393,441.252,28.665,224462,5.506,1.026,1.085,2.138,34.39,181.99,0.99,0.896,30.243,3,410.209,199.436,443.097,5.011,3.038,2.807,1359.448,665.051,43554.855,10.843,35.812,6.979,121.235,130.543,187.661,104.122,2.833
2.279,1.657,0.356,2.279,10.268,356.412,34.71,141922,1.375,0.507,1.213,4.077,29.788,69.714,0.4,1.56,23.636,1,342.263,270.218,350.323,0.873,1.216,0.992,1157.89,590.246,38755.109,9.2,28.165,4.423,115.638,116.453,184.41,77.387,1.738
5.645,1.677,0.251,0.812,10.303,551.809,53.56,171495,3.367,0.849,0.514,6.913,29.877,184.501,0.887,1.66,30.798,2,367.272,237.128,383.868,4.38,1.962,1.813,1121.907,281.914,38943.725,8.295,29.255,4.737,110.12,139.8,173.123,85.505,1.71
3.023,1.828,0.272,2.967,15.839,763.266,48.188,116732,1.653,0.556,1.005,8.681,29.77,193.575,0.444,1.769,31.73,1,341.716,271.291,354.186,1.52,1.223,1.231,1015.397,454.756,37761.078,8.715,27.785,5.562,114.505,121.064,179.872,79.472,2.799
2.39,1.295,0.335,2.731,8.644,128.889,14.91,132999,1.846,0.625,1.429,7.937,29.833,28.185,0.662,1.174,14.03,1,345.636,264.734,359.39,1.349,1.455,1.443,1165.477,713.947,42165.796,9.434,33.908,3.574,124.742,124.157,192.243,86.408,1.563
7.693,1.014,0.5,2.769,11.761,743.197,63.192,229378,7.585,1.225,1.033,11.358,32.345,288.66,1.489,0.878,34.504,6,444.305,159.441,472.446,7.259,4.024,3.657,1412.763,645.387,45776.892,12.724,39.14,5.997,132.86,130.943,207.195,122.097,2.346
7.794,1.738,0.704,2.25,9.793,526.357,53.747,234754,4.485,0.912,1.034,9.752,35.046,199.471,1.096,1.643,31.14,2,385.816,214.357,413.126,6.513,2.732,2.382,1414.102,637.507,46493.259,12.665,39.311,4.604,129.411,129.39,201.823,99.463,1.632
6.85,1.834,0.621,1.559,14.962,665.12,44.454,226991,3.735,0.897,1.184,7.128,35.449,228.227,0.899,1.711,34.54,2,376.661,224.423,390.45,5.431,2.456,2.012,1386.911,699.51,43855.978,12.289,38.367,8.36,126.819,130.72,200.421,96.565,2.274
3.828,1.74,0.673,2.766,15.941,368.712,23.13,60441,2.199,0.673,0.7,3.362,33.878,81.303,0.757,1.663,22.617,1,345.462,251.595,354.667,2.317,1.211,1.352,781.135,261.762,33469.938,5.555,20.751,3.896,98.488,126.128,147.387,77.841,2.809
2.586,1.116,0.411,1.441,16.654,430.29,25.838,217018,2.317,0.667,1.141,5.96,26.15,126.48,0.583,0.993,22.842,1,354.487,250.248,364.344,2.009,1.829,1.367,1373.686,660.258,44806.195,11.9,38.017,8.052,124.225,122.941,195.357,82.669,3.015
6.105,1.753,0.443,2.038,11.063,708.196,64.016,238640,3.482,0.873,1.399,8.627,35.574,207.741,0.772,1.577,30.026,2,376.523,234.402,389.753,4.78,2.426,2.043,1490.126,886.891,47294.133,13.796,42.325,5.823,134.739,123.434,202.26,98.884,1.986
4.641,1.769,0.436,1.019,9.071,390.394,43.038,109474,2.624,0.696,0.313,10.218,23.664,93.269,0.831,1.704,24.133,1,348.895,252.042,365.26,3.03,1.535,1.548,875.163,151.859,33397.192,7.301,24.562,1.684,94.814,133.213,143.549,78.882,1.573
2.732,1.47,0.315,2.828,8.944,474.262,53.024,144102,1.859,0.595,1.344,11.557,34.032,126.19,0.518,1.373,26.647,1,343.25,266.32,356.165,1.692,1.507,1.189,1203.22,694.042,42418.905,11.778,34.45,3.345,119.886,110.7,188.255,83.577,1.76
4.971,1.766,0.237,1.11,13.114,114.136,8.704,201400,2.815,0.774,0.562,7.66,30.513,32.007,0.962,1.698,22.369,1,357.884,250.873,370.308,3.6,1.82,1.556,1160.375,302.694,39558.708,9.982,33.023,4.65,109.47,128.123,166.326,80.122,2.406
2.206,1.514,0.555,1.295,19.35,211.019,10.905,153657,1.457,0.555,0.847,6.796,26.139,20.95,0.568,1.419,19.864,1,332.706,273.7,342.181,1,1.222,0.979,1107.701,370.723,38143.395,9.044,32.025,7.862,119.448,120.356,185.253,79.937,3.578
7.456,1.614,0.794,2.028,10.613,549.181,51.747,248566,4.621,0.947,1.323,1.195,36.215,180.503,1.163,1.445,31.359,3,397.815,210.914,418.033,6.319,2.758,2.385,1488.116,846.832,46562.892,12.076,37.578,4.681,139.343,125.534,212.297,101.409,1.503
3.553,1.089,0.3,2.481,11.081,601.884,54.317,130256,3.264,0.777,1.289,1.793,31.377,165.945,0.935,0.946,27.815,1,363.977,238.662,383.714,2.83,1.909,1.987,1156.927,695.415,39483.887,8.19,25.497,4.958,122.137,123.122,191.709,93.763,1.921
5.975,1.488,0.228,2.163,9.211,507.821,55.134,187067,4.017,0.934,1.37,2.717,35.292,161.823,1.061,1.39,28.557,2,387.347,230.306,400.112,5.033,2.399,2.329,1347.288,763.582,44845.399,9.906,34.724,3.753,124.497,119.203,193.161,98.219,1.589
3.87,1.078,0.668,1.311,15.267,200.317,13.121,204370,3.591,0.837,1.429,1.602,34.169,60.804,0.94,0.934,20.776,2,381.918,227.91,395.538,3.207,2.208,2.245,1406.252,916.741,44388.44,10.675,37.088,7.995,125.418,118.494,194.299,96.459,3.042
5.12,1.408,0.352,0.802,16.158,411.784,25.484,138702,3.638,0.832,0.837,5.409,34.821,130.322,1.03,1.294,25.202,2,376.325,228.171,386.207,4.184,2.014,1.927,1084.317,416.65,38956.637,8.458,28.123,5.434,112.513,133.353,178.794,89.003,2.862
5.28,1.407,0.698,2.466,15.715,348.566,22.18,218536,3.753,0.873,1.088,4.706,36.458,111.316,0.984,1.284,24.141,2,377.636,225.855,401.182,4.266,2.423,1.979,1358.583,637.845,41664.251,10.36,34.332,7.685,125.366,128.466,195.985,89.991,2.664
