feature,R2_vs_others,VIF
Inlet Pressure,0.9659468403567355,29.36585064281381
Outlet Pressure,0.8991240849348583,9.91316905878117
Cold Mass Fraction,0.0060758471617456955,1.0061129887470743
Nozzle Diameter,0.005864902878461753,1.0058995028899425
Tube Diameter,0.78812668011869,4.719801438709665
Tube Length,0.9153730487984955,11.816566540591875
L/D Ratio,0.9358167521305593,15.580389481600621
Reynolds Number,0.004193073641561962,1.0042107295406104
Pressure Ratio,0.9753083748341543,40.49956182646234
Mach Number,0.9710389097178397,34.52908679394532
Swirl Number,0.0030041327612901902,1.0030131847683688
Turbulence Intensity,0.0035120642945721814,1.0035244423627527
