target,model,regime,R2,RMSE,MAE,nRMSE,Bias
Vorticity,Quadratic Ridge,in-range,0.9883866769117439,20.89246606952623,16.424207086969226,0.10776512927777766,-0.4998377640299817
Vorticity,Quadratic Ridge,extrapolation,0.9868330205131076,20.74362455782319,16.563845369348474,0.11474745960975506,0.7879776325355784
Vorticity,Linear Ridge,in-range,0.9891306512243218,20.21218262420669,15.988857554077153,0.1042561690053796,-0.2018565049566329
Vorticity,Linear Ridge,extrapolation,0.9880064088199545,19.79776589818733,15.774242293418972,0.10951525546719743,-2.872597801119574
Vorticity,Random Forest,in-range,0.9853621377977668,23.455801546359496,18.761622868309754,0.12098703319874045,0.3331121561230462
Vorticity,Random Forest,extrapolation,0.8669058499013816,65.95094876218307,58.03196930898097,0.3648207095254029,-57.397838732363766
Vorticity,Gradient Boosting,in-range,0.9855202942821529,23.32874193895523,18.25315366504108,0.12033164886199733,0.7079356312809151
Vorticity,Gradient Boosting,extrapolation,0.8948883613375409,58.60935842151394,50.33317626944619,0.32420925135236206,-48.93487544702431
Helicity,Quadratic Ridge,in-range,0.9628556815702207,26.854442160354736,21.67425602396306,0.19272861341736278,0.07333877693848154
Helicity,Quadratic Ridge,extrapolation,0.9464611715793876,28.24853487820321,22.899514954543932,0.2313845898512094,-3.82485926062787
Helicity,Linear Ridge,in-range,0.9479917349808622,31.77650446537772,25.54342039015174,0.22805320655307126,-0.10485962390894893
Helicity,Linear Ridge,extrapolation,0.7176433701907636,64.87247852691048,52.77403957177911,0.5313724021900614,-33.132408153447905
Helicity,Random Forest,in-range,0.9552650009021666,29.47091737891448,23.388580867783766,0.21150649894940202,0.363029637167695
Helicity,Random Forest,extrapolation,-0.6100788106222639,154.9120008898007,135.429237247027,1.2688888094006754,-134.91067599102408
Helicity,Gradient Boosting,in-range,0.9562656911392723,29.139431345989003,23.36607436441202,0.20912749427257932,0.21797351352365144
Helicity,Gradient Boosting,extrapolation,-0.44555671134385655,146.7841165767397,126.6590776078693,1.202313067110167,-125.7961850922192
Q-Criterion,Quadratic Ridge,in-range,0.8867873137928719,1297.5194389534995,1004.5535741199183,0.3364709292154793,21.27915143405265
Q-Criterion,Quadratic Ridge,extrapolation,0.8593868842925094,1333.8543103926197,1082.478724832896,0.3749841539418573,96.11549021057122
Q-Criterion,Linear Ridge,in-range,0.8936554728933434,1257.5460506987667,984.0129581052436,0.3261050859871043,45.142336343287255
Q-Criterion,Linear Ridge,extrapolation,0.8589003305592117,1336.1600389340815,1078.2799061039664,0.37563235941647555,-513.2684531882053
Q-Criterion,Random Forest,in-range,0.8764527181098898,1355.448193331498,1050.739503628721,0.3514929329163109,70.14319649854284
Q-Criterion,Random Forest,extrapolation,0.541674197521631,2408.1450074380846,2027.2776438386525,0.6769976384584875,-1851.1279775605474
Q-Criterion,Gradient Boosting,in-range,0.8698697476267454,1391.090745843847,1090.4239030741094,0.36073570986700854,53.659041541070756
Q-Criterion,Gradient Boosting,extrapolation,0.5569510783542542,2367.670825309732,1963.7395855510504,0.6656192016804697,-1728.989305849042
