row,partition
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
9,train
10,train
11,train
12,train
14,train
15,train
16,train
17,train
19,train
21,train
22,train
24,train
26,train
27,train
28,train
31,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
46,train
47,train
50,train
52,train
53,train
54,train
55,train
57,train
58,train
60,train
61,train
62,train
64,train
66,train
68,train
72,train
74,train
75,train
77,train
79,train
80,train
81,train
82,train
85,train
86,train
88,train
89,train
90,train
92,train
94,train
95,train
97,train
98,train
101,train
102,train
103,train
104,train
106,train
107,train
108,train
110,train
112,train
113,train
114,train
116,train
117,train
119,train
122,train
123,train
125,train
126,train
127,train
129,train
130,train
131,train
132,train
133,train
136,train
137,train
138,train
139,train
140,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
150,train
153,train
154,train
155,train
156,train
159,train
160,train
161,train
164,train
165,train
166,train
167,train
169,train
171,train
172,train
175,train
176,train
180,train
181,train
182,train
183,train
186,train
187,train
189,train
190,train
193,train
195,train
197,train
200,train
201,train
202,train
204,train
206,train
213,train
214,train
215,train
216,train
217,train
223,train
224,train
225,train
227,train
228,train
232,train
234,train
235,train
236,train
238,train
241,train
242,train
243,train
244,train
245,train
248,train
249,train
250,train
253,train
255,train
258,train
260,train
262,train
264,train
265,train
267,train
268,train
269,train
271,train
274,train
276,train
280,train
284,train
285,train
288,train
292,train
293,train
295,train
300,train
301,train
302,train
310,train
312,train
314,train
315,train
317,train
319,train
320,train
323,train
325,train
326,train
327,train
328,train
329,train
330,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
341,train
345,train
346,train
347,train
348,train
349,train
355,train
356,train
357,train
359,train
362,train
363,train
364,train
369,train
370,train
371,train
372,train
373,train
375,train
376,train
378,train
379,train
384,train
385,train
386,train
388,train
389,train
390,train
391,train
392,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
403,train
404,train
405,train
412,train
413,train
417,train
418,train
419,train
421,train
424,train
428,train
431,train
434,train
437,train
441,train
442,train
444,train
446,train
448,train
449,train
451,train
452,train
453,train
454,train
455,train
456,train
459,train
460,train
465,train
466,train
467,train
468,train
